"POS","PLAYER","TEAM","RATING","CAREER BEST RATING"
"","Blessing Muzarabani","ZIM","387","387 v Pakistan, 03/11/2020"
"92","Dhananjaya de Silva","SL","386","401 v Bangladesh, 28/07/2019"
"93","Taijul Islam","BAN","385","397 v Zimbabwe, 06/03/2020"
"94","Marcus Stoinis","AUS","383","426 v England, 25/06/2019"
"95","Ashton Agar","AUS","377","377 v India, 02/12/2020"
"96","Mohammad Nawaz","PAK","376","376 v South Africa, 07/04/2021"
"97","Donald Tiripano","ZIM","373","373 v Pakistan, 03/11/2020"
"98","Bradley Wheal","SCO","372","385 v Sri Lanka, 21/05/2019"
"99","Alasdair Evans","SCO","366","421 v England, 10/06/2018"
"100","Assad Vala","PNG","363","369 v Namibia, 23/09/2019"
